************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch  58, time= 40.7s | Train: skip eval | Valid: time=  2.9s loss=1.232, TAw acc= 65.2% |
| Epoch  59, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=1.184, TAw acc= 66.1% |
| Epoch  60, time= 40.5s | Train: skip eval | Valid: time=  2.7s loss=1.130, TAw acc= 66.2% |
| Epoch  61, time= 40.6s | Train: skip eval | Valid: time=  2.7s loss=1.154, TAw acc= 65.8% |
| Epoch  62, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.131, TAw acc= 67.5% |
| Epoch  63, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=1.200, TAw acc= 64.5% |
| Epoch  64, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=1.127, TAw acc= 67.1% |
| Epoch  65, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.150, TAw acc= 65.8% |
| Epoch  66, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=1.169, TAw acc= 66.4% |
| Epoch  67, time= 40.8s | Train: skip eval | Valid: time=  2.9s loss=1.110, TAw acc= 67.0% |
| Epoch  68, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=1.168, TAw acc= 66.0% |
| Epoch  69, time= 40.6s | Train: skip eval | Valid: time=  2.8s loss=1.156, TAw acc= 66.2% |
| Epoch  70, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=1.234, TAw acc= 64.8% |
| Epoch  71, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=1.069, TAw acc= 68.1% |
| Epoch  72, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=1.224, TAw acc= 65.0% |
| Epoch  73, time= 40.1s | Train: skip eval | Valid: time=  2.8s loss=1.190, TAw acc= 65.0% |
| Epoch  74, time= 39.9s | Train: skip eval | Valid: time=  2.8s loss=1.251, TAw acc= 63.4% |
| Epoch  75, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=1.114, TAw acc= 66.7% |
| Epoch  76, time= 40.5s | Train: skip eval | Valid: time=  2.8s loss=1.071, TAw acc= 68.0% |
| Epoch  77, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.175, TAw acc= 66.4% |
| Epoch  78, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=1.067, TAw acc= 68.1% |
| Epoch  79, time= 40.1s | Train: skip eval | Valid: time=  2.7s loss=1.079, TAw acc= 68.2% |
| Epoch  80, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=1.068, TAw acc= 68.8% |
| Epoch  81, time= 40.7s | Train: skip eval | Valid: time=  2.8s loss=0.700, TAw acc= 78.3% |
| Epoch  82, time= 40.6s | Train: skip eval | Valid: time=  2.8s loss=0.681, TAw acc= 80.0% |
| Epoch  83, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.684, TAw acc= 80.4% |
| Epoch  84, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=0.689, TAw acc= 80.2% |
| Epoch  85, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=0.707, TAw acc= 80.3% |
| Epoch  86, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=0.723, TAw acc= 80.4% |
| Epoch  87, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=0.730, TAw acc= 79.8% |
| Epoch  88, time= 40.1s | Train: skip eval | Valid: time=  2.7s loss=0.734, TAw acc= 80.0% |
| Epoch  89, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.766, TAw acc= 80.0% |
| Epoch  90, time= 40.6s | Train: skip eval | Valid: time=  2.9s loss=0.765, TAw acc= 79.8% |
| Epoch  91, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.788, TAw acc= 79.8% |
| Epoch  92, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=0.801, TAw acc= 79.9% |
| Epoch  93, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=0.805, TAw acc= 80.0% |
| Epoch  94, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.820, TAw acc= 79.8% |
| Epoch  95, time= 40.6s | Train: skip eval | Valid: time=  2.8s loss=0.831, TAw acc= 80.0% |
| Epoch  96, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=0.849, TAw acc= 79.4% |
| Epoch  97, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=0.851, TAw acc= 79.3% |
| Epoch  98, time= 40.4s | Train: skip eval | Valid: time=  2.7s loss=0.836, TAw acc= 80.0% |
| Epoch  99, time= 40.7s | Train: skip eval | Valid: time=  2.9s loss=0.859, TAw acc= 79.8% |
| Epoch 100, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.876, TAw acc= 79.8% |
| Epoch 101, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.864, TAw acc= 79.6% |
| Epoch 102, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=0.877, TAw acc= 79.4% |
| Epoch 103, time= 40.7s | Train: skip eval | Valid: time=  2.9s loss=0.876, TAw acc= 79.9% |
| Epoch 104, time= 40.5s | Train: skip eval | Valid: time=  2.8s loss=0.914, TAw acc= 79.3% |
| Epoch 105, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=0.885, TAw acc= 79.5% |
| Epoch 106, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=0.916, TAw acc= 78.8% |
| Epoch 107, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.925, TAw acc= 79.2% |
| Epoch 108, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.941, TAw acc= 79.2% |
| Epoch 109, time= 40.5s | Train: skip eval | Valid: time=  3.1s loss=0.929, TAw acc= 79.0% |
| Epoch 110, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.940, TAw acc= 79.0% |
| Epoch 111, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.951, TAw acc= 78.9% |
| Epoch 112, time= 40.1s | Train: skip eval | Valid: time=  3.0s loss=0.935, TAw acc= 79.4% |
| Epoch 113, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.933, TAw acc= 79.3% |
| Epoch 114, time= 40.2s | Train: skip eval | Valid: time=  3.1s loss=0.967, TAw acc= 78.5% |
| Epoch 115, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=0.921, TAw acc= 79.3% |
| Epoch 116, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.933, TAw acc= 79.1% |
| Epoch 117, time= 40.2s | Train: skip eval | Valid: time=  2.6s loss=0.955, TAw acc= 79.1% |
| Epoch 118, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=0.945, TAw acc= 79.2% |
| Epoch 119, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.951, TAw acc= 79.6% |
| Epoch 120, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=0.947, TAw acc= 78.8% |
| Epoch 121, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.885, TAw acc= 79.7% |
