************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch   1, time= 41.3s | Train: skip eval | Valid: time=  3.3s loss=3.048, TAw acc= 18.8% |
| Epoch   2, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=2.706, TAw acc= 26.2% |
| Epoch   3, time= 40.6s | Train: skip eval | Valid: time=  3.4s loss=2.318, TAw acc= 34.7% |
| Epoch   4, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=2.093, TAw acc= 40.8% |
| Epoch   5, time= 40.8s | Train: skip eval | Valid: time=  3.2s loss=2.039, TAw acc= 42.2% |
| Epoch   6, time= 41.1s | Train: skip eval | Valid: time=  3.2s loss=1.860, TAw acc= 46.1% |
| Epoch   7, time= 40.8s | Train: skip eval | Valid: time=  3.4s loss=1.739, TAw acc= 49.4% |
| Epoch   8, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.721, TAw acc= 50.9% |
| Epoch   9, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.537, TAw acc= 55.0% |
| Epoch  10, time= 40.9s | Train: skip eval | Valid: time=  2.9s loss=1.541, TAw acc= 56.0% |
| Epoch  11, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.495, TAw acc= 56.6% |
| Epoch  12, time= 40.5s | Train: skip eval | Valid: time=  3.1s loss=1.434, TAw acc= 58.4% |
| Epoch  13, time= 40.9s | Train: skip eval | Valid: time=  3.1s loss=1.451, TAw acc= 57.0% |
| Epoch  14, time= 40.6s | Train: skip eval | Valid: time=  3.2s loss=1.370, TAw acc= 59.9% |
| Epoch  15, time= 40.7s | Train: skip eval | Valid: time=  3.0s loss=1.345, TAw acc= 60.0% |
| Epoch  16, time= 40.7s | Train: skip eval | Valid: time=  3.0s loss=1.406, TAw acc= 59.5% |
| Epoch  17, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.334, TAw acc= 60.6% |
| Epoch  18, time= 40.8s | Train: skip eval | Valid: time=  3.2s loss=1.323, TAw acc= 61.8% |
| Epoch  19, time= 40.7s | Train: skip eval | Valid: time=  3.4s loss=1.303, TAw acc= 61.7% |
| Epoch  20, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.388, TAw acc= 59.2% |
| Epoch  21, time= 41.0s | Train: skip eval | Valid: time=  3.2s loss=1.329, TAw acc= 61.2% |
| Epoch  22, time= 40.8s | Train: skip eval | Valid: time=  3.1s loss=1.330, TAw acc= 60.6% |
| Epoch  23, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=1.234, TAw acc= 62.9% |
| Epoch  24, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.244, TAw acc= 63.2% |
| Epoch  25, time= 41.0s | Train: skip eval | Valid: time=  3.1s loss=1.321, TAw acc= 61.3% |
| Epoch  26, time= 40.9s | Train: skip eval | Valid: time=  3.1s loss=1.311, TAw acc= 61.2% |
| Epoch  27, time= 41.0s | Train: skip eval | Valid: time=  3.2s loss=1.245, TAw acc= 63.4% |
| Epoch  28, time= 40.7s | Train: skip eval | Valid: time=  3.1s loss=1.290, TAw acc= 62.3% |
| Epoch  29, time= 40.8s | Train: skip eval | Valid: time=  3.4s loss=1.295, TAw acc= 61.9% |
| Epoch  30, time= 40.6s | Train: skip eval | Valid: time=  3.3s loss=1.174, TAw acc= 65.3% |
| Epoch  31, time= 40.5s | Train: skip eval | Valid: time=  3.2s loss=1.248, TAw acc= 63.5% |
| Epoch  32, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.311, TAw acc= 61.2% |
| Epoch  33, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.242, TAw acc= 63.7% |
| Epoch  34, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.191, TAw acc= 65.7% |
| Epoch  35, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.180, TAw acc= 64.4% |
| Epoch  36, time= 40.6s | Train: skip eval | Valid: time=  3.3s loss=1.143, TAw acc= 66.4% |
| Epoch  37, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=1.327, TAw acc= 61.7% |
| Epoch  38, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=1.117, TAw acc= 66.3% |
| Epoch  39, time= 40.6s | Train: skip eval | Valid: time=  3.3s loss=1.193, TAw acc= 64.5% |
| Epoch  40, time= 40.8s | Train: skip eval | Valid: time=  3.4s loss=1.124, TAw acc= 67.8% |
| Epoch  41, time= 40.9s | Train: skip eval | Valid: time=  3.4s loss=1.182, TAw acc= 64.8% |
| Epoch  42, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.163, TAw acc= 64.9% |
| Epoch  43, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.199, TAw acc= 64.8% |
| Epoch  44, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.378, TAw acc= 60.9% |
| Epoch  45, time= 41.0s | Train: skip eval | Valid: time=  3.3s loss=1.146, TAw acc= 65.4% |
| Epoch  46, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.221, TAw acc= 64.6% |
| Epoch  47, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.198, TAw acc= 65.1% |
| Epoch  48, time= 40.5s | Train: skip eval | Valid: time=  3.1s loss=1.118, TAw acc= 66.8% |
| Epoch  49, time= 40.8s | Train: skip eval | Valid: time=  3.3s loss=1.319, TAw acc= 63.2% |
| Epoch  50, time= 40.9s | Train: skip eval | Valid: time=  3.2s loss=1.134, TAw acc= 66.2% |
| Epoch  51, time= 40.9s | Train: skip eval | Valid: time=  3.2s loss=1.164, TAw acc= 65.9% |
| Epoch  52, time= 40.8s | Train: skip eval | Valid: time=  3.3s loss=1.118, TAw acc= 66.8% |
| Epoch  53, time= 40.8s | Train: skip eval | Valid: time=  3.3s loss=1.194, TAw acc= 65.5% |
| Epoch  54, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.240, TAw acc= 64.5% |
| Epoch  55, time= 41.1s | Train: skip eval | Valid: time=  3.2s loss=1.300, TAw acc= 62.5% |
| Epoch  56, time= 41.0s | Train: skip eval | Valid: time=  3.1s loss=1.169, TAw acc= 65.5% |
| Epoch  57, time= 40.6s | Train: skip eval | Valid: time=  3.4s loss=1.129, TAw acc= 66.9% |
| Epoch  58, time= 40.6s | Train: skip eval | Valid: time=  3.2s loss=1.142, TAw acc= 66.5% |
| Epoch  59, time= 40.6s | Train: skip eval | Valid: time=  3.2s loss=1.306, TAw acc= 62.3% |
| Epoch  60, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.150, TAw acc= 66.3% |
| Epoch  61, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=1.199, TAw acc= 65.0% |
| Epoch  62, time= 40.7s | Train: skip eval | Valid: time=  3.0s loss=1.129, TAw acc= 67.4% |
| Epoch  63, time= 41.0s | Train: skip eval | Valid: time=  3.2s loss=1.119, TAw acc= 66.9% |
| Epoch  64, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=1.070, TAw acc= 68.5% |
| Epoch  65, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.169, TAw acc= 65.9% |
| Epoch  66, time= 40.6s | Train: skip eval | Valid: time=  3.3s loss=1.147, TAw acc= 66.9% |
| Epoch  67, time= 40.7s | Train: skip eval | Valid: time=  3.3s loss=1.279, TAw acc= 64.1% |
| Epoch  68, time= 40.7s | Train: skip eval | Valid: time=  3.2s loss=1.160, TAw acc= 65.7% |
| Epoch  69, time= 40.6s | Train: skip eval | Valid: time=  2.9s loss=1.154, TAw acc= 66.5% |
| Epoch  70, time= 40.8s | Train: skip eval | Valid: time=  3.2s loss=1.090, TAw acc= 68.1% |
| Epoch  71, time= 40.9s | Train: skip eval | Valid: time=  2.8s loss=1.137, TAw acc= 65.8% |
| Epoch  72, time= 41.0s | Train: skip eval | Valid: time=  3.3s loss=1.107, TAw acc= 68.3% |
| Epoch  73, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=1.157, TAw acc= 66.8% |
| Epoch  74, time= 40.9s | Train: skip eval | Valid: time=  3.5s loss=1.065, TAw acc= 68.5% |
| Epoch  75, time= 40.9s | Train: skip eval | Valid: time=  3.4s loss=1.185, TAw acc= 65.0% |
| Epoch  76, time= 40.8s | Train: skip eval | Valid: time=  3.3s loss=1.110, TAw acc= 67.4% |
| Epoch  77, time= 41.0s | Train: skip eval | Valid: time=  3.2s loss=1.195, TAw acc= 64.8% |
